Key,Source,Context,Changes,english,french,japanese
Hammock,vehicles,vehicle,EnChanged,Hammock,Hamac,"ハンモック (アクセス可能)"
Recliner Chair,vehicles,item,EnChanged,Recliner Chair,Chaise inclinable,"リクライニングチェア (アクセス可能)"
Recliner Chair,vehicles,vehicle,EnChanged,Recliner Chair,Chaise inclinable,"リクライニングチェア (アクセス可能)"
"Bed Frame",blocks,Block,KeyChanged EnChanged,Bed Structure,Structure de lit,"ベッドフレーム"
"Bed Frame ",blocks,Block,KeyChanged EnChanged,Bed Structure,Structure de lit,"ベッドフレーム"
Trone,vehicles,item,EnChanged,Throne,Trone,"玉座 (アクセス可能)"
Trone,vehicles,vehicle,EnChanged,Throne,Trone,"玉座 (アクセス可能)"
Ballchair,vehicles,item,EnChanged,Ball Chair,Chaise oeuf,"ボールチェア (アクセス可能)"
Ballchair,vehicles,vehicle,EnChanged,Ball Chair,Chaise oeuf,"ボールチェア (アクセス可能)"
Bar Stool,vehicles,item,EnChanged,Bar Stool,Chaise de bar,"バースツール (アクセス可能)"
Bar Stool,vehicles,vehicle,EnChanged,Bar Stool,Chaise de bar,"バースツール (アクセス可能)"
Carousel,vehicles,item,EnChanged,Carousel,Tourniquet,"回転遊具 (アクセス可能)"
Carousel,vehicles,vehicle,EnChanged,Carousel,Tourniquet,"回転遊具 (アクセス可能)"
Swing,vehicles,item,EnChanged,Swing,Balançoire,"ブランコ (アクセス可能)"
Swing,vehicles,vehicle,EnChanged,Swing,Balançoire,"ブランコ (アクセス可能)"
Bench,vehicles,item,EnChanged,Bench,Banc,"ベンチ (アクセス可能)"
Bench,vehicles,vehicle,EnChanged,Bench,Banc,"ベンチ (アクセス可能)"
"Bed 2",vehicles,item,EnChanged,Bed 2,Lit 2,"ベッド2 (アクセス可能)"
"Bed 2",vehicles,vehicle,EnChanged,Bed 2,Lit 2,"ベッド2 (アクセス可能)"
"Bed Frame 2",blocks,Block,KeyChanged EnChanged,Bed Structure 2,Structure de lit 2,"ベッドフレーム2"
"Bed Frame 2 ",blocks,Block,KeyChanged EnChanged,Bed Structure 2,Structure de lit 2,"ベッドフレーム2"
"Golden Toilet",vehicles,item,EnChanged,Toilet,Toilettes en or,"黄金トイレ (アクセス可能)"
"Golden Toilet",vehicles,vehicle,EnChanged,Toilet,Toilettes en or,"黄金トイレ (アクセス可能)"


chairbasicdesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuye sur la touche klaxon (X) pour jouer un son","手に持った状態で地面に向け右クリックで設置出来ます。\n\nEキーを押すと座る事が可能です。\n\nXキーを押すと、専用の音が鳴ります。\n\n使用中はスタミナが回復するバフが付きます。"
chairactivedesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound  \nPress Headlight key (F) to turn on","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour jouer un son \nAppuye sur la touche phares (F) pour allumer","手に持った状態で地面に向け右クリックで設置出来ます。\n\nEキーを押すと使用する事が可能です。\n\nXキーを押すと、専用の音が鳴ります。\n\n使用中はスタミナが回復するバフが付きます。\n\nFキーを押すと専用のアクションが開始します。"
chairwesterndesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound  \nPress Space to swing","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour jouer un son \nAppuye sur espace pour vous balancer","手に持った状態で地面に向け右クリックで設置出来ます。\n\nEキーを押すと使用する事が可能です。\n\nXキーを押すと、専用の音が鳴ります。\n\n使用中はスタミナが回復するバフが付きます。\n\nスペースキーを押すと揺らす事が出来ます。"
chairbeddesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound  \nGrants you rested buff after a long nap","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour jouer un son \nObtenez un buff après un bon somme","手に持った状態で地面に向け右クリックで設置出来ます。\n\nEキーを押すと寝る事が可能です。\n\nXキーを押すと、専用の音が鳴ります。\n\n使用するとスタミナと体力が回復するバフが付きますが、長時間寝ていると空腹になるので、お気を付けください。"
chairbedstructuredesc,blocks,Block,EnChanged,"Place a Bed above it to get a rested buff when sleeping\nRight click with a repair tool to set as active spawn point \nPress E to pick it up","Posez un lit par dessus pour obtenir un buff en dormant\nClic droit avec un outil de réparation pour rendre le spawn actif \nAppuyer sur E pour ramasser","手に持った状態で地面に向け右クリックで設置出来ます。\n\nベッドフレームはリスポーン地点として使用可能です。\n\nベッド (アクセス可能)などの乗り物をベッドフレームの上にセットすることも可能です。"
toiletbasicdesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to make the magic happen  \nCan cure dystentery if you're patient enough","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour ouvrir les vannes \nUn bon remède contre la dysenterie","手に持った状態で地面に向け右クリックで設置出来ます。\n\nEキーを押すと使用する事が可能です。\n\nXキーを押すと、専用の音が鳴ります。\n\nアクセスして一定時間が経過すると、赤痢が治りますが、長時間座っていると喉が渇くのでお気を付けください。"
carouseldesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound  \nPress Left and Right (A-D) to spin","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour jouer un son \nAppuye sur Droite et Gauche  (Q-D) pour tourner","手に持った状態で地面に向け右クリックで設置出来ます。\n\nEキーを押すと使用する事が可能です。\n\nXキーを押すと、専用の音が鳴ります。\n\n使用中に左右の方向キーを押すと回す事が出来ます。"

"Sleeping",buffs,Buff,EnChanged,"Sleeping","Endormi","睡眠中"
"Rested",buffs,Buff,EnChanged,"Rested","Reposé","元気いっぱい"
"Sleepdesc",buffs,Buff,EnChanged,"Rested","Reposé","しっかりと寝ることは大切ですね。\n\n元気いっぱいになり、スタミナ回復速度が上昇しています！"
"Toilet",buffs,Buff,EnChanged,"Toilet","Toilettes","トイレ"
"Rest",buffs,Buff,EnChanged,"Rest","Repos","休憩中"


"Sleep well my friend.                                     Regenerates Health slowly                             Grants you Rested Buff after a while.           You might be hungry when you wake up.",buffs,Buff,EnChanged,"Sleep well my friend. \nRegenerates Health slowly \nGrants you Rested Buff after a while. \nYou might be hungry when you wake up.","Bonne nuit mon ami \nRégénère la vie lentement \nObtenez le buff reposé après 20s \nTout cela vous donne faim","ぐっすりお休みください。\n寝ている間は体力が徐々に回復します。\n少し時間がたつと、元気いっぱいバフが付与されます\n\n目覚めたらお腹が空いているかもしれません。"
"Sleeping isn't overrated.                             Your stamina is on fire ! ",buffs,Buff,EnChanged,"Sleeping isn't overrated. \nYour stamina is on fire ! ","Ça fait du bien de dormir. \n Vous pétez le feu !","ゆっくりと寝ましたね。\n\n一時的にスタミナ回復速度が大幅に上がっています。"
"You feel relaxed...",buffs,Buff,EnChanged,"You feel relaxed...","Vous êtes détendu...","とてもリラックスしています..."
"You got a great day ahead of you!",buffs,Buff,EnChanged,"You got a great day ahead of you!","Une nouvelle journée commence!","今日は素晴らしい一日になりそうです！"
"Makes you thirsty.                                     Removes dysentery after a while.",buffs,Buff,EnChanged,"Makes you thirsty. \nRemoves dysentery after a while.","Peut vous donner soif. \nSupprime la dysenterie au bout d'un certain temps","一定時間たつと赤痢が治ります。\n\n使用すると喉が渇くのでご注意ください。"
"I wish I had a phone right now..",buffs,Buff,EnChanged,"I wish I had a phone right now..","Un téléphone ça serait pas de refus","暇つぶしのためにスマホ持ってくればよかったかもしれません..."
"You are resting.",buffs,Buff,EnChanged,"You are resting.","Vous vous reposez.","ゆっくりと休んでいるため、スタミナが素早く回復します。\n\n最大スタミナは回復しません。"
"That's comfy.",buffs,Buff,EnChanged,"That's comfy.","C'est confortable.","座り心地最高です。"


